External ID,Work Item Type,Parent ID,Epic Name,Title,User Story / Summary,Description,Acceptance Criteria,Priority,Story Points,Wave,Legacy Reference,Dependency IDs,Dependency Notes,Module / Domain,Tags,Proposed Status,Azure Area Path,Azure Iteration Path,Jira Issue Type,Jira Epic Name,Notes
EP-00,Epic,,"Plataforma base, arquitectura y gobierno técnico","Plataforma base, arquitectura y gobierno técnico","Crear la base técnica común que soportará todos los módulos: autenticación, API Gateway, bus de eventos, observabilidad, entornos y CI/CD.","Crear la base técnica común que soportará todos los módulos: autenticación, API Gateway, bus de eventos, observabilidad, entornos y CI/CD.",,P0,25,Wave 0,Transversal a todo PWGS,,,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave0,Epic,"Plataforma base, arquitectura y gobierno técnico",Fila agregadora para importación jerárquica
US-00.01,User Story,EP-00,"Plataforma base, arquitectura y gobierno técnico",Disponer de un API Gateway único,"Como arquitecto de plataforma quiero disponer de un API Gateway único para enrutar peticiones, aplicar autenticación y centralizar políticas para evitar acoplamientos entre frontend y microservicios.","Como arquitecto de plataforma quiero disponer de un API Gateway único para enrutar peticiones, aplicar autenticación y centralizar políticas para evitar acoplamientos entre frontend y microservicios.","- Existe un punto único de entrada para frontend web, app móvil y portales externos.
- Todas las APIs protegidas requieren autenticación y autorización basada en rol.
- El gateway registra trazas de petición, tiempos de respuesta y errores por servicio.",P0,5,Wave 0,transversal,,ninguna,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;EP-00;Wave0,Propuesto,ERP\Siniestros,Wave0,Story,"Plataforma base, arquitectura y gobierno técnico",
US-00.02,User Story,EP-00,"Plataforma base, arquitectura y gobierno técnico",Disponer de un bus de eventos con contratos versionados,Como equipo de desarrollo quiero disponer de un bus de eventos con contratos versionados para que los módulos reaccionen en tiempo real sin integraciones punto a punto.,Como equipo de desarrollo quiero disponer de un bus de eventos con contratos versionados para que los módulos reaccionen en tiempo real sin integraciones punto a punto.,"- Se definen eventos de dominio mínimos: ExpedienteCreado, CitaAgendada, ParteRecibido, ExpedienteFinalizado, FacturaEmitida y PedidoConfirmado.
- Cada evento incluye payload, versionado, identificador correlacionado y timestamp.
- Los consumidores pueden reprocesar eventos fallidos mediante colas de reintento y DLQ.",P0,5,Wave 0,automatización de eventos,,API Gateway y modelo de eventos,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;EP-00;Wave0,Propuesto,ERP\Siniestros,Wave0,Story,"Plataforma base, arquitectura y gobierno técnico",
US-00.03,User Story,EP-00,"Plataforma base, arquitectura y gobierno técnico",Pipelines CI/CD y entornos segregados,Como DevOps quiero pipelines CI/CD y entornos segregados para desplegar cambios con trazabilidad y rollback controlado.,Como DevOps quiero pipelines CI/CD y entornos segregados para desplegar cambios con trazabilidad y rollback controlado.,"- Existen entornos al menos de desarrollo, pruebas y producción con configuraciones separadas.
- Cada despliegue ejecuta validaciones automáticas, pruebas y migraciones seguras.
- Puede revertirse una versión sin pérdida de datos ni indisponibilidad prolongada.",P0,5,Wave 0,no aplica,,repositorios y estrategia de infraestructura,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;EP-00;Wave0,Propuesto,ERP\Siniestros,Wave0,Story,"Plataforma base, arquitectura y gobierno técnico",
US-00.04,User Story,EP-00,"Plataforma base, arquitectura y gobierno técnico",Observabilidad integral,"Como responsable técnico quiero observabilidad integral para detectar incidencias de rendimiento, sincronización y negocio antes de que afecten al SLA.","Como responsable técnico quiero observabilidad integral para detectar incidencias de rendimiento, sincronización y negocio antes de que afecten al SLA.","- Todos los servicios emiten logs estructurados con correlation_id.
- Se monitorizan métricas de negocio y plataforma: tiempo de primer contacto, partes pendientes, facturas caducadas y latencia por API.
- Existen alertas configurables para caídas de integraciones críticas, colas saturadas y errores repetidos.",P0,5,Wave 0,informes y auditoría,,logging y métricas instrumentadas,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;EP-00;Wave0,Propuesto,ERP\Siniestros,Wave0,Story,"Plataforma base, arquitectura y gobierno técnico",
US-00.05,User Story,EP-00,"Plataforma base, arquitectura y gobierno técnico",Un modelo RBAC/ABAC unificado,"Como responsable de seguridad quiero un modelo RBAC/ABAC unificado para controlar el acceso por rol, empresa, compañía y expediente.","Como responsable de seguridad quiero un modelo RBAC/ABAC unificado para controlar el acceso por rol, empresa, compañía y expediente.","- Los roles mínimos incluyen administración, tramitación, supervisor, operario, proveedor, perito, cliente y financiero.
- El sistema impide acceso a expedientes y datos económicos fuera del ámbito autorizado.
- Toda operación sensible queda auditada con usuario, fecha, contexto y resultado.",P0,5,Wave 0,"usuarios compañía, usuario operario, datos usuario",,identidad y catálogo de roles,"Plataforma base, arquitectura y gobierno técnico",ERP;Siniestros;EP-00;Wave0,Propuesto,ERP\Siniestros,Wave0,Story,"Plataforma base, arquitectura y gobierno técnico",
EP-01,Epic,,Ingesta de encargos y apertura de expediente,Ingesta de encargos y apertura de expediente,"Eliminar entrada manual y normalizar el alta de siniestros B2B/B2C desde correo, API, formularios o carga asistida.","Eliminar entrada manual y normalizar el alta de siniestros B2B/B2C desde correo, API, formularios o carga asistida.",,P0,14,Wave 1,apertura.php?nuevo=1,,,Ingesta de encargos y apertura de expediente,ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave1,Epic,Ingesta de encargos y apertura de expediente,Fila agregadora para importación jerárquica
US-01.01,User Story,EP-01,Ingesta de encargos y apertura de expediente,Recibir automáticamente nuevos encargos en la bandeja de asignaciones,Como tramitador quiero recibir automáticamente nuevos encargos en la bandeja de asignaciones para reducir tiempos de alta y errores de transcripción.,Como tramitador quiero recibir automáticamente nuevos encargos en la bandeja de asignaciones para reducir tiempos de alta y errores de transcripción.,"- Los encargos entrantes se registran sin necesidad de tecleo manual cuando existe fuente estructurada.
- Cada alta genera expediente con identificador único, estado inicial y trazabilidad de origen.
- La bandeja muestra los nuevos expedientes en tiempo real sin recargar la página.",P0,3,Wave 1,"código, compañía, empresa, anno_pap, danos, observaciones, urgente_servicio",EP-00,EP-00,Ingesta de encargos y apertura de expediente,ERP;Siniestros;EP-01;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Ingesta de encargos y apertura de expediente,
US-01.02,User Story,EP-01,Ingesta de encargos y apertura de expediente,Parsear y mapear datos atómicos del encargo,"Como sistema quiero parsear y mapear datos atómicos del encargo para poblar correctamente expediente, compañía, asegurado y metadatos operativos.","Como sistema quiero parsear y mapear datos atómicos del encargo para poblar correctamente expediente, compañía, asegurado y metadatos operativos.","- El parser separa referencia, póliza, año, urgencia, compañía, empresa facturadora, descripción del daño y observaciones.
- Los errores de parseo quedan marcados para revisión humana con detalle del campo afectado.
- No se permite crear expediente si faltan datos críticos definidos por regla de negocio.",P0,5,Wave 1,apertura.php y seguimiento cabecera,,catálogo de datos maestro,Ingesta de encargos y apertura de expediente,ERP;Siniestros;EP-01;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Ingesta de encargos y apertura de expediente,
US-01.03,User Story,EP-01,Ingesta de encargos y apertura de expediente,Editar inline los datos de apertura antes de continuar el flujo,Como tramitador quiero editar inline los datos de apertura antes de continuar el flujo para corregir erratas sin abrir pantallas secundarias.,Como tramitador quiero editar inline los datos de apertura antes de continuar el flujo para corregir erratas sin abrir pantallas secundarias.,"- Los campos editables permiten corrección inmediata y guardado auditado.
- Las modificaciones quedan registradas con valor anterior y nuevo valor.
- La interfaz diferencia claramente datos heredados, datos normalizados y datos pendientes de validación.",P0,3,Wave 1,apertura.php,,expediente creado,Ingesta de encargos y apertura de expediente,ERP;Siniestros;EP-01;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Ingesta de encargos y apertura de expediente,
US-01.04,User Story,EP-01,Ingesta de encargos y apertura de expediente,"Clasificar el expediente por urgencia, tipología y etiquetas de negocio","Como supervisor quiero clasificar el expediente por urgencia, tipología y etiquetas de negocio para enrutarlo correctamente desde el inicio.","Como supervisor quiero clasificar el expediente por urgencia, tipología y etiquetas de negocio para enrutarlo correctamente desde el inicio.","- Puede marcarse urgente, VIP y otras banderas configurables.
- La clasificación condiciona SLA, prioridad visual y automatizaciones posteriores.
- Las etiquetas quedan disponibles para búsqueda, reporting y reglas de eventos.",P0,3,Wave 1,"urgente_servicio, servicio_puntual, gestor_tipos.php",,gestor de tipos y reglas,Ingesta de encargos y apertura de expediente,ERP;Siniestros;EP-01;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Ingesta de encargos y apertura de expediente,
EP-02,Epic,,"CRM operacional, seguimiento y comunicaciones omnicanal","CRM operacional, seguimiento y comunicaciones omnicanal","Centralizar toda la conversación del expediente en una línea temporal única con trazabilidad de email, SMS, logs y acciones manuales.","Centralizar toda la conversación del expediente en una línea temporal única con trazabilidad de email, SMS, logs y acciones manuales.",,P0,14,Wave 1,"seguimiento.php > eventos, SMS y comunicaciones; form_compania correo e integraciones",,,"CRM operacional, seguimiento y comunicaciones omnicanal",ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave1,Epic,"CRM operacional, seguimiento y comunicaciones omnicanal",Fila agregadora para importación jerárquica
US-02.01,User Story,EP-02,"CRM operacional, seguimiento y comunicaciones omnicanal",Una timeline cronológica unificada del expediente,Como tramitador quiero una timeline cronológica unificada del expediente para consultar todo el contexto sin cambiar de herramienta.,Como tramitador quiero una timeline cronológica unificada del expediente para consultar todo el contexto sin cambiar de herramienta.,"- La timeline integra eventos del sistema, acciones humanas, emails, SMS, notas internas y cambios de estado.
- Cada elemento muestra fecha, actor, canal, resultado y vínculo al expediente.
- La línea temporal admite filtros por tipo de evento y búsqueda textual.",P0,3,Wave 1,"seguimiento, tipo_mensaje, info",EP-01,EP-01,"CRM operacional, seguimiento y comunicaciones omnicanal",ERP;Siniestros;EP-02;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"CRM operacional, seguimiento y comunicaciones omnicanal",
US-02.02,User Story,EP-02,"CRM operacional, seguimiento y comunicaciones omnicanal",Enviar emails y SMS desde el expediente con plantillas dinámicas,Como tramitador quiero enviar emails y SMS desde el expediente con plantillas dinámicas para acelerar la comunicación y mantener evidencia.,Como tramitador quiero enviar emails y SMS desde el expediente con plantillas dinámicas para acelerar la comunicación y mantener evidencia.,"- El usuario puede seleccionar plantilla, revisar el contenido y enviar por canal autorizado.
- Las variables dinámicas se resuelven con datos vigentes del expediente antes del envío.
- El resultado del envío queda registrado con estado entregado, fallido o pendiente de reintento.",P0,3,Wave 1,"id_texto_predefinido_email, email_asegurado_envio, asunto_asegurado_envio, texto_email, telefono_sms_envio, texto_sms",,plantillas y conectores de mensajería,"CRM operacional, seguimiento y comunicaciones omnicanal",ERP;Siniestros;EP-02;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"CRM operacional, seguimiento y comunicaciones omnicanal",
US-02.03,User Story,EP-02,"CRM operacional, seguimiento y comunicaciones omnicanal",Conectores IMAP/SMTP/API por compañía,Como responsable de integración quiero conectores IMAP/SMTP/API por compañía para recibir y emitir comunicaciones según el protocolo del cliente.,Como responsable de integración quiero conectores IMAP/SMTP/API por compañía para recibir y emitir comunicaciones según el protocolo del cliente.,"- Cada compañía puede definir su canal de integración y credenciales segregadas.
- Las comunicaciones entrantes se asocian automáticamente al expediente correcto cuando existe referencia suficiente.
- Los fallos de autenticación o mapeo generan alerta operativa y quedan trazados.",P0,5,Wave 1,"servidor_correo_colaborador, remitente_correo_colaborador, correo_colaborador, correo_pass_colaborador, codigo_usuario_companyia",,maestros de compañía,"CRM operacional, seguimiento y comunicaciones omnicanal",ERP;Siniestros;EP-02;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"CRM operacional, seguimiento y comunicaciones omnicanal",
US-02.04,User Story,EP-02,"CRM operacional, seguimiento y comunicaciones omnicanal",Un buscador universal multiatributo,"Como usuario de negocio quiero un buscador universal multiatributo para localizar expedientes por teléfono, nombre, dirección, referencia o etiqueta.","Como usuario de negocio quiero un buscador universal multiatributo para localizar expedientes por teléfono, nombre, dirección, referencia o etiqueta.","- La búsqueda admite combinación de criterios exactos y difusos.
- Los resultados distinguen expedientes, clientes, operarios, compañías y documentos relacionados.
- La respuesta se mantiene dentro del umbral de rendimiento definido para consulta operativa.",P0,3,Wave 1,búsqueda transversal del ERP,,indexación y normalización de datos,"CRM operacional, seguimiento y comunicaciones omnicanal",ERP;Siniestros;EP-02;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"CRM operacional, seguimiento y comunicaciones omnicanal",
EP-03,Epic,,Maestros y configuración corporativa,Maestros y configuración corporativa,"Modelar empresa, compañías, usuarios, operarios, formas de pago, cuentas bancarias y parámetros base del ERP.","Modelar empresa, compañías, usuarios, operarios, formas de pago, cuentas bancarias y parámetros base del ERP.",,P0,17,Wave 1,"empresa.php, form_compania.php, form_operario.php, datos_usuario.php, condiciones.php, gestor_tipos.php",,,Maestros y configuración corporativa,ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave1,Epic,Maestros y configuración corporativa,Fila agregadora para importación jerárquica
US-03.01,User Story,EP-03,Maestros y configuración corporativa,Mantener la ficha maestra de empresa,"Como administrador quiero mantener la ficha maestra de empresa para parametrizar identidad fiscal, branding, facturación y cumplimiento legal.","Como administrador quiero mantener la ficha maestra de empresa para parametrizar identidad fiscal, branding, facturación y cumplimiento legal.","- La ficha de empresa incluye datos fiscales, SMS, dirección, contacto, país, residencia, prefijo de facturación y texto de protección de datos.
- Los cambios de configuración quedan versionados y con fecha de vigencia.
- La parametrización está disponible para facturas, documentos, comunicaciones y reportes.",P0,3,Wave 1,empresa.php,EP-00,EP-00,Maestros y configuración corporativa,ERP;Siniestros;EP-03;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Maestros y configuración corporativa,
US-03.02,User Story,EP-03,Maestros y configuración corporativa,Gestionar la configuración completa de cada compañía aseguradora,"Como administrador quiero gestionar la configuración completa de cada compañía aseguradora para adaptar tarifas, integraciones, zonas y reglas operativas.","Como administrador quiero gestionar la configuración completa de cada compañía aseguradora para adaptar tarifas, integraciones, zonas y reglas operativas.","- La ficha de compañía soporta datos básicos, subcuentas, forma de pago, cuenta bancaria, provincias, descuentos, IVA, tipificaciones y usuarios.
- Las credenciales e integraciones se almacenan cifradas y segregadas por entorno.
- La parametrización influye en apertura, planning, presupuestos, facturación y comunicaciones.",P0,5,Wave 1,form_compania.php,,catálogo de maestros,Maestros y configuración corporativa,ERP;Siniestros;EP-03;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Maestros y configuración corporativa,
US-03.03,User Story,EP-03,Maestros y configuración corporativa,"Mantener la red de operarios con datos logísticos, bancarios, categorías y automatizaciones","Como supervisor quiero mantener la red de operarios con datos logísticos, bancarios, categorías y automatizaciones para asignar correctamente trabajos.","Como supervisor quiero mantener la red de operarios con datos logísticos, bancarios, categorías y automatizaciones para asignar correctamente trabajos.","- La ficha del operario incluye datos personales o societarios, contacto, IBAN, subcuenta, prefijo de autofacturación, categoría y credenciales.
- Puede marcarse supervisor, automatización SMS/email y ajuste negociado de baremos.
- Los operarios inactivos no aparecen como candidatos en planificación ni autofacturación.",P0,3,Wave 1,form_operario.php,,catálogo de especialidades,Maestros y configuración corporativa,ERP;Siniestros;EP-03;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Maestros y configuración corporativa,
US-03.04,User Story,EP-03,Maestros y configuración corporativa,"Gestionar usuarios internos, roles y cambio de contraseña","Como administrador quiero gestionar usuarios internos, roles y cambio de contraseña para asegurar el acceso controlado a la plataforma.","Como administrador quiero gestionar usuarios internos, roles y cambio de contraseña para asegurar el acceso controlado a la plataforma.","- Cada usuario dispone de identidad, rol, empresa y políticas de contraseña.
- El cambio de contraseña exige validación de credenciales previas y reglas de complejidad.
- Los accesos quedan auditados y pueden bloquearse tras intentos fallidos.",P0,3,Wave 1,"datos_usuario.php, usuarios de compañía",,RBAC,Maestros y configuración corporativa,ERP;Siniestros;EP-03;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Maestros y configuración corporativa,
US-03.05,User Story,EP-03,Maestros y configuración corporativa,"Mantener etiquetas, condiciones legales y parámetros globales","Como responsable funcional quiero mantener etiquetas, condiciones legales y parámetros globales para reutilizar textos y banderas en presupuestos y facturas.","Como responsable funcional quiero mantener etiquetas, condiciones legales y parámetros globales para reutilizar textos y banderas en presupuestos y facturas.","- Es posible crear, activar o desactivar etiquetas de negocio y condiciones por defecto.
- Las condiciones pueden auto-incluirse en documentos según reglas configurables.
- Los parámetros globales se gestionan sin cambios de código y con trazabilidad.",P0,3,Wave 1,"gestor_tipos.php, condiciones.php",EP-03,EP-03.01,Maestros y configuración corporativa,ERP;Siniestros;EP-03;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,Maestros y configuración corporativa,
EP-04,Epic,,"Planificación, agenda y smart dispatch","Planificación, agenda y smart dispatch","Asignar correctamente operarios y citas, respetando disponibilidad, especialidad, capacidad y SLA de primer contacto.","Asignar correctamente operarios y citas, respetando disponibilidad, especialidad, capacidad y SLA de primer contacto.",,P0,15,Wave 1,seguimiento.php > tareas/actuaciones/planning; datos cabecera de siniestro,,,"Planificación, agenda y smart dispatch",ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave1,Epic,"Planificación, agenda y smart dispatch",Fila agregadora para importación jerárquica
US-04.01,User Story,EP-04,"Planificación, agenda y smart dispatch",Consultar un plan semanal por gremio y operario,Como tramitador quiero consultar un plan semanal por gremio y operario para elegir el mejor hueco disponible y cumplir el SLA de contacto.,Como tramitador quiero consultar un plan semanal por gremio y operario para elegir el mejor hueco disponible y cumplir el SLA de contacto.,"- La agenda muestra por operario la carga existente, disponibilidad y huecos libres.
- El filtrado por especialidad y zona reduce la lista a candidatos válidos.
- Los cambios de disponibilidad se reflejan en tiempo real para evitar sobreasignación.",P0,3,Wave 1,"especialidad_servicio, idtrabajo",EP-03,EP-03 operarios,"Planificación, agenda y smart dispatch",ERP;Siniestros;EP-04;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"Planificación, agenda y smart dispatch",
